r,c,BC,AC,WC
66000,2,-1,2094482,-1
66100,2,-1,2297304,-1
66200,2,-1,2476257,-1
66300,2,-1,2305085,-1
66400,2,-1,2130737,-1
66500,2,-1,2321171,-1
66600,2,-1,3013608,-1
66700,2,-1,2659379,-1
66800,2,-1,2589067,-1
66900,2,-1,2249219,-1
67000,2,-1,2307971,-1
67100,2,-1,2256735,-1
67200,2,-1,2204641,-1
67300,2,-1,2073006,-1
67400,2,-1,2326160,-1
67500,2,-1,2075709,-1
67600,2,-1,1710717,-1
67700,2,-1,1674207,-1
67800,2,-1,1729447,-1
67900,2,-1,1740424,-1
68000,2,-1,1906565,-1
68100,2,-1,2325629,-1
68200,2,-1,2282856,-1
68300,2,-1,3104599,-1
68400,2,-1,2438643,-1
68500,2,-1,2408504,-1
68600,2,-1,2576052,-1
68700,2,-1,2460614,-1
68800,2,-1,2383574,-1
68900,2,-1,2485511,-1
69000,2,-1,2311735,-1
69100,2,-1,2860338,-1
69200,2,-1,2280458,-1
69300,2,-1,2110603,-1
69400,2,-1,1970832,-1
69500,2,-1,2978045,-1
69600,2,-1,3133228,-1
69700,2,-1,2663637,-1
69800,2,-1,2685489,-1
69900,2,-1,2637753,-1
70000,2,-1,2991929,-1
70100,2,-1,2325520,-1
70200,2,-1,2586686,-1
70300,2,-1,2768574,-1
70400,2,-1,2413648,-1
70500,2,-1,2652184,-1
70600,2,-1,2567400,-1
70700,2,-1,2427780,-1
70800,2,-1,2984118,-1
70900,2,-1,2668032,-1
71000,2,-1,2642438,-1
71100,2,-1,2417590,-1
71200,2,-1,2629909,-1
71300,2,-1,2613019,-1
71400,2,-1,2251383,-1
71500,2,-1,2253614,-1
71600,2,-1,2716562,-1
71700,2,-1,2914970,-1
71800,2,-1,2452301,-1
71900,2,-1,2644613,-1
72000,2,-1,2630890,-1
72100,2,-1,2646580,-1
72200,2,-1,2483638,-1
72300,2,-1,2994383,-1
72400,2,-1,2704360,-1
72500,2,-1,2629883,-1
72600,2,-1,2858294,-1
72700,2,-1,2534984,-1
72800,2,-1,2718332,-1
72900,2,-1,2540120,-1
73000,2,-1,2598445,-1
73100,2,-1,2891245,-1
73200,2,-1,2680817,-1
73300,2,-1,2818757,-1
73400,2,-1,2756192,-1
73500,2,-1,2618871,-1
73600,2,-1,2655303,-1
73700,2,-1,2829891,-1
73800,2,-1,2612276,-1
73900,2,-1,3486455,-1
74000,2,-1,2511601,-1
74100,2,-1,2711061,-1
74200,2,-1,2602607,-1
74300,2,-1,2671343,-1
74400,2,-1,2721074,-1
74500,2,-1,2699519,-1
74600,2,-1,2459551,-1
74700,2,-1,3391277,-1
74800,2,-1,2768118,-1
74900,2,-1,2787202,-1
75000,2,-1,2433037,-1
75100,2,-1,2474076,-1
75200,2,-1,2646338,-1
75300,2,-1,2885615,-1
75400,2,-1,3771170,-1
75500,2,-1,2354510,-1
75600,2,-1,2825193,-1
75700,2,-1,2082400,-1
